Sub_Department,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Infectious Disease Department,Fungal infection,I have itching,I have nodal_skin_eruptions,I have dischromic _patches,I have skin_rash,I don't have shivering,I don't have chills,I don't have stomach_pain,I don't have vomiting,I don't have fatigue,I don't have lethargy,I don't have cough,I don't have congestion,I don't have back_pain,I don't have mild_fever,I don't have phlegm,I don't have runny_nose,I don't have neck_pain
Infectious Disease Department,Fungal infection,I have itching,I have nodal_skin_eruptions,I have dischromic _patches,I have skin_rash,I don't have shivering,I don't have chills,I don't have stomach_pain,I don't have vomiting,I don't have fatigue,I don't have lethargy,I don't have cough,I don't have congestion,I don't have back_pain,I don't have mild_fever,I don't have phlegm,I don't have runny_nose,I don't have neck_pain
Infectious Disease Department,Fungal infection,I have itching,I have nodal_skin_eruptions,I have dischromic _patches,I have skin_rash,I don't have shivering,I don't have chills,I don't have stomach_pain,I don't have vomiting,I don't have fatigue,I don't have lethargy,I don't have cough,I don't have congestion,I don't have back_pain,I don't have mild_fever,I don't have phlegm,I don't have runny_nose,I don't have neck_pain
Infectious Disease Department,Fungal infection,I have itching,I have nodal_skin_eruptions,I have dischromic _patches,I have skin_rash,I don't have shivering,I don't have chills,I don't have stomach_pain,I don't have vomiting,I don't have fatigue,I don't have lethargy,I don't have cough,I don't have congestion,I don't have back_pain,I don't have mild_fever,I don't have phlegm,I don't have runny_nose,I don't have neck_pain
Infectious Disease Department,Fungal infection,I have itching,I have nodal_skin_eruptions,I have dischromic _patches,I have skin_rash,I don't have shivering,I don't have chills,I don't have stomach_pain,I don't have vomiting,I don't have fatigue,I don't have lethargy,I don't have cough,I don't have congestion,I don't have back_pain,I don't have mild_fever,I don't have phlegm,I don't have runny_nose,I don't have neck_pain
Infectious Disease Department,Fungal infection,I have itching,I have nodal_skin_eruptions,I have dischromic _patches,I have skin_rash,I don't have shivering,I don't have chills,I don't have stomach_pain,I don't have vomiting,I don't have fatigue,I don't have lethargy,I don't have cough,I don't have congestion,I don't have back_pain,I don't have mild_fever,I don't have phlegm,I don't have runny_nose,I don't have neck_pain
Infectious Disease Department,Fungal infection,I have itching,I have nodal_skin_eruptions,I have dischromic _patches,I have skin_rash,I don't have shivering,I don't have chills,I don't have stomach_pain,I don't have vomiting,I don't have fatigue,I don't have lethargy,I don't have cough,I don't have congestion,I don't have back_pain,I don't have mild_fever,I don't have phlegm,I don't have runny_nose,I don't have neck_pain
Infectious Disease Department,Fungal infection,I have itching,I have nodal_skin_eruptions,I have dischromic _patches,I have skin_rash,I don't have shivering,I don't have chills,I don't have stomach_pain,I don't have vomiting,I don't have fatigue,I don't have lethargy,I don't have cough,I don't have congestion,I don't have back_pain,I don't have mild_fever,I don't have phlegm,I don't have runny_nose,I don't have neck_pain
Infectious Disease Department,Fungal infection,I have itching,I have nodal_skin_eruptions,I have dischromic _patches,I have skin_rash,I don't have shivering,I don't have chills,I don't have stomach_pain,I don't have vomiting,I don't have fatigue,I don't have lethargy,I don't have cough,I don't have congestion,I don't have back_pain,I don't have mild_fever,I don't have phlegm,I don't have runny_nose,I don't have neck_pain
Infectious Disease Department,Fungal infection,I have itching,I have nodal_skin_eruptions,I have dischromic _patches,I have skin_rash,I don't have shivering,I don't have chills,I don't have stomach_pain,I don't have vomiting,I don't have fatigue,I don't have lethargy,I don't have cough,I don't have congestion,I don't have back_pain,I don't have mild_fever,I don't have phlegm,I don't have runny_nose,I don't have neck_pain
Infectious Disease Department,Fungal infection,I have itching,I have nodal_skin_eruptions,I have dischromic _patches,I have skin_rash,I don't have shivering,I don't have chills,I don't have stomach_pain,I don't have vomiting,I don't have fatigue,I don't have lethargy,I don't have cough,I don't have congestion,I don't have back_pain,I don't have mild_fever,I don't have phlegm,I don't have runny_nose,I don't have neck_pain
Infectious Disease Department,Fungal infection,I have itching,I have nodal_skin_eruptions,I have dischromic _patches,I have skin_rash,I don't have shivering,I don't have chills,I don't have stomach_pain,I don't have vomiting,I don't have fatigue,I don't have lethargy,I don't have cough,I don't have congestion,I don't have back_pain,I don't have mild_fever,I don't have phlegm,I don't have runny_nose,I don't have neck_pain
Infectious Disease Department,Fungal infection,I have itching,I have nodal_skin_eruptions,I have dischromic _patches,I have skin_rash,I don't have shivering,I don't have chills,I don't have stomach_pain,I don't have vomiting,I don't have fatigue,I don't have lethargy,I don't have cough,I don't have congestion,I don't have back_pain,I don't have mild_fever,I don't have phlegm,I don't have runny_nose,I don't have neck_pain
Infectious Disease Department,Fungal infection,I have itching,I have nodal_skin_eruptions,I have dischromic _patches,I have skin_rash,I don't have shivering,I don't have chills,I don't have stomach_pain,I don't have vomiting,I don't have fatigue,I don't have lethargy,I don't have cough,I don't have congestion,I don't have back_pain,I don't have mild_fever,I don't have phlegm,I don't have runny_nose,I don't have neck_pain
